"SampleID","Antigen","MFI"
522,"MSP8",133.5
536,"EBP",34
536,"PTEX150",176
536,"PvCSS",37
536,"LF005",180
536,"LF010",32
536,"RBP2b.P87",34.5
536,"LF016",32
536,"MSP8",517
543,"EBP",39
543,"PTEX150",142.5
543,"PvCSS",41
543,"LF005",73
543,"LF010",85
543,"RBP2b.P87",36
543,"LF016",60
543,"MSP8",240
544,"EBP",93.5
544,"PTEX150",63.5
544,"PvCSS",125.5
544,"LF005",200.5
544,"LF010",38
544,"RBP2b.P87",46
544,"LF016",267
544,"MSP8",206
546,"EBP",44
546,"PTEX150",50
546,"PvCSS",53
546,"LF005",56
546,"LF010",40
546,"RBP2b.P87",45
546,"LF016",78
546,"MSP8",50
554,"EBP",40
554,"PTEX150",288
554,"PvCSS",48
554,"LF005",86
554,"LF010",39
554,"RBP2b.P87",47
554,"LF016",36
554,"MSP8",52
560,"EBP",37
560,"PTEX150",46.5
560,"PvCSS",43
560,"LF005",85.5
560,"LF010",34
560,"RBP2b.P87",49.5
560,"LF016",31
560,"MSP8",124
564,"EBP",41
564,"PTEX150",30
564,"PvCSS",55
564,"LF005",50
564,"LF010",35
564,"RBP2b.P87",34
564,"LF016",52
564,"MSP8",288
567,"EBP",46
567,"PTEX150",105
567,"PvCSS",54.5
567,"LF005",63.5
567,"LF010",47
567,"RBP2b.P87",55
567,"LF016",74
567,"MSP8",53
571,"EBP",49
571,"PTEX150",63
571,"PvCSS",60
571,"LF005",67.5
571,"LF010",47
571,"RBP2b.P87",66
571,"LF016",64
571,"MSP8",122
578,"EBP",40
578,"PTEX150",41
578,"PvCSS",48
578,"LF005",45
578,"LF010",40
578,"RBP2b.P87",38
578,"LF016",52
578,"MSP8",68.5
586,"EBP",58
586,"PTEX150",97
586,"PvCSS",61.5
586,"LF005",108
586,"LF010",42
586,"RBP2b.P87",52
586,"LF016",72.5
586,"MSP8",95
589,"EBP",34
589,"PTEX150",43
589,"PvCSS",37
589,"LF005",209
589,"LF010",33
589,"RBP2b.P87",34
589,"LF016",36
589,"MSP8",44
595,"EBP",45.5
595,"PTEX150",193
595,"PvCSS",55
595,"LF005",373
595,"LF010",57
595,"RBP2b.P87",55
595,"LF016",53
595,"MSP8",94
597,"EBP",34
597,"PTEX150",81
597,"PvCSS",36
597,"LF005",52
597,"LF010",34
597,"RBP2b.P87",33
597,"LF016",32.5
597,"MSP8",97.5
603,"EBP",63.5
603,"PTEX150",328.5
603,"PvCSS",69
603,"LF005",72.5
603,"LF010",54
603,"RBP2b.P87",62
603,"LF016",51
603,"MSP8",219
608,"EBP",51
608,"PTEX150",132
608,"PvCSS",71.5
608,"LF005",118
608,"LF010",44
608,"RBP2b.P87",53
608,"LF016",43
608,"MSP8",179
611,"EBP",41
611,"PTEX150",170
611,"PvCSS",47
611,"LF005",93
611,"LF010",44
611,"RBP2b.P87",53
611,"LF016",76
611,"MSP8",423
617,"EBP",34
617,"PTEX150",25
617,"PvCSS",48
617,"LF005",42
617,"LF010",31
617,"RBP2b.P87",33
617,"LF016",28
617,"MSP8",41
620,"EBP",34
620,"PTEX150",34
620,"PvCSS",83
620,"LF005",60
620,"LF010",34
620,"RBP2b.P87",43.5
620,"LF016",29
620,"MSP8",150
621,"EBP",43
621,"PTEX150",62
621,"PvCSS",130.5
621,"LF005",113
621,"LF010",42
621,"RBP2b.P87",48
621,"LF016",82
621,"MSP8",55
622,"EBP",39
622,"PTEX150",89.5
622,"PvCSS",53.5
622,"LF005",49
622,"LF010",31
622,"RBP2b.P87",33
622,"LF016",28
622,"MSP8",54
623,"EBP",44
623,"PTEX150",67
623,"PvCSS",51
623,"LF005",73
623,"LF010",40
623,"RBP2b.P87",55
