"std_plate","Sample","antigen","eth_mfi","dilution","png_mfi"
8,"S4","PTEX150",840,0.125,4091.5
8,"S4","RBP2b.P87",2929,0.125,5091
8,"S4","LF016",23562,0.125,12935
8,"S4","PvCSS",908,0.125,4421
8,"S5","LF005",2196,0.0625,2825
8,"S5","EBP",2083,0.0625,6101.5
8,"S5","LF010",6775,0.0625,9902
8,"S5","PTEX150",476.5,0.0625,2361.5
8,"S5","RBP2b.P87",2008,0.0625,4030
8,"S5","LF016",20739,0.0625,9103.5
8,"S5","PvCSS",488,0.0625,2388
8,"S6","LF005",1279,0.03125,1681
8,"S6","EBP",1230,0.03125,3901
8,"S6","LF010",4408,0.03125,6243
8,"S6","PTEX150",269,0.03125,1469
8,"S6","RBP2b.P87",1375,0.03125,2463.5
8,"S6","LF016",16869.5,0.03125,5932
8,"S6","PvCSS",271,0.03125,1405
8,"S7","LF005",716.5,0.015625,977.5
8,"S7","EBP",707.5,0.015625,2130
8,"S7","LF010",2516,0.015625,4027.5
8,"S7","PTEX150",154,0.015625,909
8,"S7","RBP2b.P87",769,0.015625,1616
8,"S7","LF016",12605,0.015625,3451.5
8,"S7","PvCSS",153.5,0.015625,783
8,"S8","LF005",407,0.0078125,583
8,"S8","EBP",423,0.0078125,1279
8,"S8","LF010",1529,0.0078125,2367
8,"S8","PTEX150",95,0.0078125,548.5
8,"S8","RBP2b.P87",466,0.0078125,952
8,"S8","LF016",8879.5,0.0078125,2100.5
8,"S8","PvCSS",86,0.0078125,430
8,"S9","LF005",221,0.00390625,316.5
8,"S9","EBP",244,0.00390625,731
8,"S9","LF010",906,0.00390625,1391
